=== Intelli3 Classifier CLI ===
[INFO] output='output'  docs=98  filename='instances_fragments_profile.ttl'
[INFO] MI_ORDER: 0:Linguistic, 1:Logical-Mathematical, 2:Spatial, 3:Musical, 4:Bodily-Kinesthetic, 5:Interpersonal, 6:Intrapersonal, 7:Naturalist

--- Ranking for P11-GLOB (Equilibrado – global) ---
01. score=0.9060  doc=urn:doc:6#vec-doc
02. score=0.8887  doc=urn:doc:330#vec-doc
03. score=0.8611  doc=urn:doc:256#vec-doc
04. score=0.8401  doc=urn:doc:116#vec-doc
05. score=0.8369  doc=urn:doc:329#vec-doc
06. score=0.8361  doc=urn:doc:4#vec-doc
07. score=0.8261  doc=urn:doc:103#vec-doc
08. score=0.8258  doc=urn:doc:328#vec-doc
09. score=0.8069  doc=urn:doc:174#vec-doc
10. score=0.8045  doc=urn:doc:253#vec-doc

[OK] Relatórios salvos em: /home/speck/Python/Intelli3Test/intelli3/reports_poc
